genre,input song 1,input song 2,song 1,song 2,song 3,song 4,song 5,song 6,song 7,song 8,song 9,song 10
rap,Nuthin But A G'Thang (Snoop Dogg),Dear Mama (2Pac),When You're Smiling/The Sheik Of Araby (Louis Prima;Sam Butera & The Witnesses;Keely Smith),Too Good (Christian Kuria),Ride It (Kya Yehi Pyar Hai) (Jay Sean),Long Term (Jada Kingdom),Bittersweet (Michael Calfan),Let's Fall in Love for the Night (FINNEAS),Need You (Horizon Blue;S3da;Coulson),Pantera (Rvfv;Duki),Me Gustaria (Sayian Jimmy;NicoClear;JOSEPE EL DEMENTE;Nysix Music;Gabo El Chamaquito),"Wahrheit (Original (German) Cast of ""Tanz Der Vampire"")"
pop,Blank Space (Taylor Swift),Sorry (Justin Bieber),Desire (Limoblaze;Emandiong),Heartache On The Dance Floor (Jon Pardi),Empty Beer Cans (Jon Pardi),U Are My High (with Future) (DJ Snake;Future),Ele Se Foi (Oficina G3),夏を待ちきれなくて (TUBE),Saadhanam Kayyil Undo? (Parimal Shais;MC Couper),Bad Dream (Hands Like Houses),Changes (Mike Perry;Dimitri Vangelis & Wyman;TEN TIMES;The Companions),Gringo (Ati242)
hard_rock,Highway to Hell (AC/DC),Paranoid (2009 - Remaster) (Black Sabbath),Untainted Love (Frank Turner),In Your Eyes (Nora En Pure),(RE)EVOLUTION VOL. 2 (Dirt Monkey),Loop (Martin Garrix;DallasK;Sasha Alex Sloan),I Will Wait (Mumford & Sons),Wonderwall (TEEMID),La Frontera Inesperada - Remasterizado 2016 (Riff),Oh Klahoma (Jack Stauber),Touch - Solomun Remix (Golden Features;Rromarin;Solomun),Love You Zindagi (Amit Trivedi;Jasleen Royal)
balade,True (Spandau Ballet),True Colors (Cyndi Lauper),Um Cara de Sorte (Detonautas Roque Clube),Bleeding Love (Leona Lewis),I Be U Be (High Valley),I Be U Be (High Valley),I Be U Be (High Valley),I Wish (Christmas Version) (Joel Corry;Mabel),Po Ve Po - The Pain of Love (Anirudh Ravichander;Mohit Chauhan),Al Olor Del Hogar (Bersuit Vergarabat),La Llamada (Leiva),I CHOOSE TO WORSHIP (Rend Collective)
edm,Wake Me Up (Avicii),Feel So Close - Radio Edit (Calvin Harris),Promised Land (Joe Smooth),Last Friday Night (feat. Darren Criss) (Glee Cast;Darren Criss),Det dom aldrig nämner (Håkan Hellström),I Don't Think I Love You (Hoobastank),Trillando la fina (Almafuerte),Danger (BTS),The Roots Within (Fit For A King),Fiesta Mexicana (Stereoact;Mickie Krause),Fighting In Built Up Areas (Ladytron),Run Away (Real McCoy)
