genre,input song 1,input song 2,song 1,song 2,song 3,song 4,song 5,song 6,song 7,song 8,song 9,song 10
rap,Nuthin But A G'Thang (Snoop Dogg),Dear Mama (2Pac),Dear Mama (2Pac),Navegando no Mar (Mc Kevin),Liga e Me Chama (MC Joãozinho VT;DJ BOY),Pokas ideia 777* (Mc Kelvinho;Caio Passos),Sensual Girl (Mc Davi;Costa Gold),Sad Girls (feat. Rema) (Clean Bandit;French The Kid;Rema),Luxúria ou Trauma (MC Hariel;Filipe Ret;Pedro Lotto),Cachorro Louco (KayBlack;Froid),Comemoração (Mc Kadu),Fim da Tempestade (MC Marks)
pop,Blank Space (Taylor Swift),Sorry (Justin Bieber),Baila Baila Baila - Remix (Ozuna;Daddy Yankee;J Balvin;Farruko;Anuel AA),Otro Atardecer (Bad Bunny;The Marías),Abre la Ventana (Dúo Karma),Channa Ve (Akhil Sachdeva;Mansheel Gujral),"Inthandham (From ""Sita Ramam (Telugu)"") (Vishal Chandrashekhar;S.P. Charan)","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"") (Rochak Kohli;Arijit Singh;Neha Kakkar)",Blank Space (Taylor Swift),"Meri Jaan Meri Jaan (From ""Bachchhan Paandey"") (B Praak)",august (Taylor Swift),Photograph (Ed Sheeran)
hard_rock,Highway to Hell (AC/DC),Paranoid (2009 - Remaster) (Black Sabbath),yaadein (Zaeden;AAKASH),85% (Loote;gnash),I'll Wait (Kygo;Sasha Alex Sloan),Deus Vai Te Honrar (Stella Laura),Here for You (Firehouse),Abraço (Medulla;Martin),Pal - Lofi Flip (Kritiman Mishra;Arijit Singh;Shreya Ghoshal;Javed-Mohsin),Chidiya Cover VIP (Swattrex;Lofi By Swattrex),Tell Him a Lie (Vybz Kartel),Vem tänder stjärnorna (Eva Dahlgren)
balade,True (Spandau Ballet),True Colors (Cyndi Lauper),Lembranças (Ao Vivo) (Maneva),Blasphemy (ZABO),A Vibe (feat. Wiz Khalifa) (Protoje;Wiz Khalifa),Mágica (Ao Vivo) (Calcinha Preta),Mineirinha (Forrozão Sela Rasgada;Zezinho Aboiador),Borbulhas de Amor (Tenho um Coração) - Burbujas de Amor (Canindé),Maine Pyar Tumhi Se Kiya Hai (Anuradha Paudwal;Kumar Sanu),"Mile Tum Se Bichhad Ke Hum (From ""Salaami"") (Alka Yagnik;Kumar Sanu;Kavita Krishnamurthy)",Aap Mujhe Achche Lagne Lage - Aap Mujhe Achche Lagne Lage / Soundtrack Version (Alka Yagnik;Abhijeet),Borinquen (Sonora Ponceña;Papo Lucca)
edm,Wake Me Up (Avicii),Feel So Close - Radio Edit (Calvin Harris),HandClap (Fitz and The Tantrums),Tudo O Que Me Prometeu (Israel Salazar),Summer Rain (Woesum;Yung Lean),Footloose (Glee Cast Version) (Glee Cast),To Sozinho (Aviões do Forró),Forrozeira Linda (Mulher Doideira) (Ao Vivo) (Aviões do Forró),Love Maze (BTS),Thursday's Child Has Far To Go (TOMORROW X TOGETHER),Vaalaakkaamal (Gersson Edinbaro),Olmadım Say (Kayra)
